BoreID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
10092847,GW004083.1.1,67.3,67.5,23.72,23.52,INLT,UNK,,184.0,UNK,,UNK,1,
10092847,GW004083.1.1,68.8,69.0,22.22,22.02,INLT,UNK,,184.0,UNK,,UNK,1,
10141205,GW012142.1.1,0.0,237.7,107.0,-130.7,LIN,UNK,,152.0,UNK,,UNK,1,
10141205,GW012142.1.1,0.0,60.7,107.0,46.3,LIN,UNK,,203.0,UNK,,UNK,1,
10141205,GW012142.1.1,0.0,60.7,107.0,46.3,LIN,UNK,,203.0,UNK,,UNK,1,
10141205,GW012142.1.1,240.5,292.6,-133.5,-185.6,LIN,UNK,,127.0,UNK,,UNK,1,
10141205,GW012142.1.1,243.8,251.4,-136.8,-144.4,INLT,UNK,,127.0,UNK,,UNK,1,
10141205,GW012142.1.1,281.9,288.0,-174.9,-181.0,INLT,UNK,,127.0,UNK,,UNK,1,
10135750,GW004366.1.1,0.0,698.0,133.35,-564.65,LIN,UNK,,152.0,UNK,,UNK,1,
10135750,GW004366.1.1,0.0,44.0,133.35,89.35,LIN,UNK,,254.0,UNK,,UNK,1,
10135750,GW004366.1.1,0.0,54.9,133.35,78.45,LIN,UNK,,203.0,UNK,,UNK,1,
10129049,GW004401.1.1,0.0,227.9,113.09,-114.81,LIN,UNK,,152.0,UNK,,UNK,1,
10129049,GW004401.1.1,0.0,102.6,113.09,10.49,LIN,UNK,,203.0,UNK,,UNK,1,
10129049,GW004401.1.1,0.0,23.8,113.09,89.29,LIN,UNK,,254.0,UNK,,UNK,1,
